Perf.,Cost,Query,Type
52663,381245,27,ONLINE/THETA-0.25
20068,1509557,28,ONLINE/THETA-0.25
36763,1181240,29,ONLINE/THETA-0.25
18770,803093,30,ONLINE/THETA-0.25
20845,1402282,31,ONLINE/THETA-0.25
11337,182316,32,ONLINE/THETA-0.25
22109,912738,33,ONLINE/THETA-0.25
14547,218494,34,ONLINE/THETA-0.25
22278,779747,35,ONLINE/THETA-0.25
22958,481434,36,ONLINE/THETA-0.25
6443,190181,37,ONLINE/THETA-0.25
21648,1009879,38,ONLINE/THETA-0.25
24981,470280,39a,ONLINE/THETA-0.25
25619,507792,39b,ONLINE/THETA-0.25
18549,727308,40,ONLINE/THETA-0.25
72113,3889503,88,ONLINE/THETA-0.25
14110,369629,90,ONLINE/THETA-0.25
15490,747565,01,ONLINE/THETA-0.25
34179,498293,02,ONLINE/THETA-0.25
17529,274695,63,ONLINE/THETA-0.25
58051,1683392,64,ONLINE/THETA-0.25
28115,1322406,65,ONLINE/THETA-0.25
29193,634661,66,ONLINE/THETA-0.25
54705,2093640,67,ONLINE/THETA-0.25
16285,421559,03,ONLINE/THETA-0.25
85979,8158335,04,ONLINE/THETA-0.25
29839,2574249,05,ONLINE/THETA-0.25
24373,759539,06,ONLINE/THETA-0.25
39994,1023219,07,ONLINE/THETA-0.25
14236,294393,08,ONLINE/THETA-0.25
27136,2488659,09,ONLINE/THETA-0.25
20611,717821,10,ONLINE/THETA-0.25
51946,4118181,11,ONLINE/THETA-0.25
11999,439045,12,ONLINE/THETA-0.25
18165,274804,13,ONLINE/THETA-0.25
105655,5553089,14a,ONLINE/THETA-0.25
42542,1725699,69,ONLINE/THETA-0.25
36555,1483414,70,ONLINE/THETA-0.25
29485,1249057,71,ONLINE/THETA-0.25
14963,190751,73,ONLINE/THETA-0.25
42900,2426969,74,ONLINE/THETA-0.25
67390,3715755,75,ONLINE/THETA-0.25
17462,1009914,76,ONLINE/THETA-0.25
28240,1564475,77,ONLINE/THETA-0.25
56979,4236628,78,ONLINE/THETA-0.25
27883,629543,79,ONLINE/THETA-0.25
31101,1722141,80,ONLINE/THETA-0.25
15953,773451,81,ONLINE/THETA-0.25
11822,269775,82,ONLINE/THETA-0.25
15975,872840,83,ONLINE/THETA-0.25
7018,184540,84,ONLINE/THETA-0.25
18746,611557,85,ONLINE/THETA-0.25
9084,347954,86,ONLINE/THETA-0.25
21541,1135388,87,ONLINE/THETA-0.25
22160,559600,89,ONLINE/THETA-0.25
13641,325319,91,ONLINE/THETA-0.25
10550,438244,92,ONLINE/THETA-0.25
26721,671655,93,ONLINE/THETA-0.25
16288,884048,94,ONLINE/THETA-0.25
11049,121670,96,ONLINE/THETA-0.25
17517,671393,97,ONLINE/THETA-0.25
24116,747981,98,ONLINE/THETA-0.25
26363,233878,99,ONLINE/THETA-0.25
18980,75533,41,ONLINE/THETA-0.25
25630,561520,42,ONLINE/THETA-0.25
20341,382665,43,ONLINE/THETA-0.25
21518,370786,44,ONLINE/THETA-0.25
23777,1034675,45,ONLINE/THETA-0.25
19231,284855,46,ONLINE/THETA-0.25
43394,1226549,47,ONLINE/THETA-0.25
23822,540306,48,ONLINE/THETA-0.25
60611,1865323,49,ONLINE/THETA-0.25
34678,1058029,50,ONLINE/THETA-0.25
21763,945286,51,ONLINE/THETA-0.25
