,optimum,Availability,dataset,theta
472,8,0-shot,sqlstorm,0.0
473,53,0-shot,sqlstorm,0.0
474,34,0-shot,sqlstorm,0.0
475,0,0-shot,sqlstorm,0.0
476,35,0-shot,sqlstorm,0.0
477,8,0-shot,sqlstorm,0.0
478,53,0-shot,sqlstorm,0.0
479,8,0-shot,sqlstorm,0.0
480,0,0-shot,sqlstorm,0.0
481,53,0-shot,sqlstorm,0.0
482,0,0-shot,sqlstorm,0.0
483,32,0-shot,sqlstorm,0.0
484,35,0-shot,sqlstorm,0.0
485,34,0-shot,sqlstorm,0.0
486,53,0-shot,sqlstorm,0.0
487,31,0-shot,sqlstorm,0.0
488,0,0-shot,sqlstorm,0.0
489,0,0-shot,sqlstorm,0.0
490,34,0-shot,sqlstorm,0.0
491,2,0-shot,sqlstorm,0.0
492,2,0-shot,sqlstorm,0.0
493,8,0-shot,sqlstorm,0.0
494,53,0-shot,sqlstorm,0.0
495,53,0-shot,sqlstorm,0.0
496,0,0-shot,sqlstorm,0.0
497,8,0-shot,sqlstorm,0.0
498,36,0-shot,sqlstorm,0.0
499,35,0-shot,sqlstorm,0.0
500,35,0-shot,sqlstorm,0.0
501,16,0-shot,sqlstorm,0.0
502,0,0-shot,sqlstorm,0.0
503,0,0-shot,sqlstorm,0.0
504,8,0-shot,sqlstorm,0.0
505,53,0-shot,sqlstorm,0.0
506,14,0-shot,sqlstorm,0.0
507,0,0-shot,sqlstorm,0.0
508,41,0-shot,sqlstorm,0.0
509,34,0-shot,sqlstorm,0.0
510,8,0-shot,sqlstorm,0.0
511,2,0-shot,sqlstorm,0.0
512,0,0-shot,sqlstorm,0.0
513,53,0-shot,sqlstorm,0.0
514,53,0-shot,sqlstorm,0.0
515,34,0-shot,sqlstorm,0.0
516,25,0-shot,sqlstorm,0.0
517,35,0-shot,sqlstorm,0.0
518,8,0-shot,sqlstorm,0.0
519,0,0-shot,sqlstorm,0.0
520,53,0-shot,sqlstorm,0.0
521,8,0-shot,sqlstorm,0.0
522,53,0-shot,sqlstorm,0.0
523,25,0-shot,sqlstorm,0.0
524,35,0-shot,sqlstorm,0.0
525,36,0-shot,sqlstorm,0.0
526,35,0-shot,sqlstorm,0.0
527,35,0-shot,sqlstorm,0.0
528,0,0-shot,sqlstorm,0.0
529,25,0-shot,sqlstorm,0.0
530,0,0-shot,sqlstorm,0.0
531,0,0-shot,sqlstorm,0.0
532,0,0-shot,sqlstorm,0.0
533,32,0-shot,sqlstorm,0.0
534,0,0-shot,sqlstorm,0.0
535,53,0-shot,sqlstorm,0.0
536,8,0-shot,sqlstorm,0.0
537,0,0-shot,sqlstorm,0.0
538,0,0-shot,sqlstorm,0.0
539,41,0-shot,sqlstorm,0.0
540,41,0-shot,sqlstorm,0.0
541,35,0-shot,sqlstorm,0.0
542,8,0-shot,sqlstorm,0.0
543,53,0-shot,sqlstorm,0.0
544,0,0-shot,sqlstorm,0.0
545,0,0-shot,sqlstorm,0.0
546,0,0-shot,sqlstorm,0.0
547,2,0-shot,sqlstorm,0.0
548,0,0-shot,sqlstorm,0.0
549,36,0-shot,sqlstorm,0.0
550,0,0-shot,sqlstorm,0.0
551,0,0-shot,sqlstorm,0.0
552,53,0-shot,sqlstorm,0.0
553,0,0-shot,sqlstorm,0.0
554,0,0-shot,sqlstorm,0.0
555,35,0-shot,sqlstorm,0.0
556,8,0-shot,sqlstorm,0.0
557,8,0-shot,sqlstorm,0.0
558,42,0-shot,sqlstorm,0.0
559,0,0-shot,sqlstorm,0.0
560,0,0-shot,sqlstorm,0.0
561,53,0-shot,sqlstorm,0.0
562,36,0-shot,sqlstorm,0.0
563,2,0-shot,sqlstorm,0.0
564,8,0-shot,sqlstorm,0.0
565,53,0-shot,sqlstorm,0.0
566,8,0-shot,sqlstorm,0.0
567,0,0-shot,sqlstorm,0.0
568,0,0-shot,sqlstorm,0.0
569,53,0-shot,sqlstorm,0.0
570,0,0-shot,sqlstorm,0.0
571,35,0-shot,sqlstorm,0.0
572,27,0-shot,sqlstorm,0.0
573,41,0-shot,sqlstorm,0.0
574,31,0-shot,sqlstorm,0.0
575,3,0-shot,sqlstorm,0.0
576,53,0-shot,sqlstorm,0.0
577,8,0-shot,sqlstorm,0.0
578,0,0-shot,sqlstorm,0.0
579,0,0-shot,sqlstorm,0.0
580,14,0-shot,sqlstorm,0.0
581,0,0-shot,sqlstorm,0.0
582,41,0-shot,sqlstorm,0.0
583,41,0-shot,sqlstorm,0.0
584,0,0-shot,sqlstorm,0.0
585,53,0-shot,sqlstorm,0.0
586,0,0-shot,sqlstorm,0.0
587,42,0-shot,sqlstorm,0.0
588,41,0-shot,sqlstorm,0.0
589,35,0-shot,sqlstorm,0.0
590,8,0-shot,sqlstorm,0.0
591,0,0-shot,sqlstorm,0.0
592,53,0-shot,sqlstorm,0.0
593,53,0-shot,sqlstorm,0.0
594,36,0-shot,sqlstorm,0.0
595,35,0-shot,sqlstorm,0.0
596,0,0-shot,sqlstorm,0.0
597,8,0-shot,sqlstorm,0.0
598,53,0-shot,sqlstorm,0.0
599,35,0-shot,sqlstorm,0.0
600,35,0-shot,sqlstorm,0.0
601,0,0-shot,sqlstorm,0.0
602,2,0-shot,sqlstorm,0.0
603,8,0-shot,sqlstorm,0.0
604,8,0-shot,sqlstorm,0.0
605,0,0-shot,sqlstorm,0.0
606,53,0-shot,sqlstorm,0.0
607,0,0-shot,sqlstorm,0.0
608,36,0-shot,sqlstorm,0.0
609,25,0-shot,sqlstorm,0.0
610,0,0-shot,sqlstorm,0.0
611,35,0-shot,sqlstorm,0.0
612,25,0-shot,sqlstorm,0.0
613,14,0-shot,sqlstorm,0.0
614,8,0-shot,sqlstorm,0.0
615,0,0-shot,sqlstorm,0.0
616,0,0-shot,sqlstorm,0.0
617,0,0-shot,sqlstorm,0.0
618,53,0-shot,sqlstorm,0.0
619,2,0-shot,sqlstorm,0.0
620,25,0-shot,sqlstorm,0.0
621,0,0-shot,sqlstorm,0.0
622,8,0-shot,sqlstorm,0.0
623,0,0-shot,sqlstorm,0.0
624,8,0-shot,sqlstorm,0.0
625,53,0-shot,sqlstorm,0.0
626,0,0-shot,sqlstorm,0.0
627,0,0-shot,sqlstorm,0.0
628,53,0-shot,sqlstorm,0.0
629,2,0-shot,sqlstorm,0.0
630,34,0-shot,sqlstorm,0.0
631,35,0-shot,sqlstorm,0.0
632,0,0-shot,sqlstorm,0.0
633,0,0-shot,sqlstorm,0.0
634,35,0-shot,sqlstorm,0.0
635,0,0-shot,sqlstorm,0.0
636,0,0-shot,sqlstorm,0.0
637,0,0-shot,sqlstorm,0.0
638,53,0-shot,sqlstorm,0.0
639,53,0-shot,sqlstorm,0.0
640,35,0-shot,sqlstorm,0.0
641,41,0-shot,sqlstorm,0.0
642,2,0-shot,sqlstorm,0.0
643,8,0-shot,sqlstorm,0.0
644,53,0-shot,sqlstorm,0.0
645,42,0-shot,sqlstorm,0.0
646,0,0-shot,sqlstorm,0.0
647,53,0-shot,sqlstorm,0.0
648,0,0-shot,sqlstorm,0.0
649,0,0-shot,sqlstorm,0.0
650,0,0-shot,sqlstorm,0.0
651,41,0-shot,sqlstorm,0.0
652,25,0-shot,sqlstorm,0.0
653,0,0-shot,sqlstorm,0.0
654,0,0-shot,sqlstorm,0.0
655,53,0-shot,sqlstorm,0.0
656,0,0-shot,sqlstorm,0.0
657,53,0-shot,sqlstorm,0.0
658,33,0-shot,sqlstorm,0.0
659,0,0-shot,sqlstorm,0.0
660,0,0-shot,sqlstorm,0.0
661,0,0-shot,sqlstorm,0.0
662,14,0-shot,sqlstorm,0.0
663,53,0-shot,sqlstorm,0.0
664,53,0-shot,sqlstorm,0.0
665,35,0-shot,sqlstorm,0.0
666,32,0-shot,sqlstorm,0.0
667,8,0-shot,sqlstorm,0.0
668,0,0-shot,sqlstorm,0.0
669,0,0-shot,sqlstorm,0.0
670,0,0-shot,sqlstorm,0.0
671,53,0-shot,sqlstorm,0.0
672,35,0-shot,sqlstorm,0.0
673,0,0-shot,sqlstorm,0.0
674,0,0-shot,sqlstorm,0.0
675,0,0-shot,sqlstorm,0.0
676,8,0-shot,sqlstorm,0.0
677,53,0-shot,sqlstorm,0.0
678,0,0-shot,sqlstorm,0.0
679,14,0-shot,sqlstorm,0.0
680,0,0-shot,sqlstorm,0.0
681,34,0-shot,sqlstorm,0.0
682,0,0-shot,sqlstorm,0.0
683,8,0-shot,sqlstorm,0.0
684,53,0-shot,sqlstorm,0.0
685,0,0-shot,sqlstorm,0.0
686,53,0-shot,sqlstorm,0.0
